state,age,grade,hours,num612,num1317,youngest,othrlt18,othrge18,bmodk5,white,centcity,public,quarter,numge18
1,22.5,11,40,0,0,0,0,1,1,0,0,1,2,0
1,23,12,33,0,0,2,0,0,1,0,0,1,3,0
1,39.75,10,16,1,1,5,1,0,1,0,0,1,2,1
1,25.5,9,0,0,0,3,0,1,51,0,0,1,1,0
1,35.75,8,0,4,2,5,1,2,39,0,0,0,1,2
1,27.5,12,0,1,0,5,1,1,1,1,0,1,1,0
1,35,10,15,2,2,3,0,0,1,0,0,0,2,0
1,24.75,9,0,1,0,0,0,0,12,0,0,0,1,0
1,24,14,40,0,0,5,0,0,1,1,0,1,0,0
1,30,16,45,0,0,5,0,0,1,0,0,0,2,0
1,26.5,12,40,0,0,2,0,0,1,1,0,0,3,0
1,42,12,40,0,1,0,0,0,1,0,0,0,0,3
1,27.25,12,0,1,0,3,0,0,1,0,0,1,2,0
1,31.5,8,40,0,0,5,0,0,1,0,0,0,2,0
1,29,9,0,1,0,3,0,0,1,0,0,0,0,0
1,22,12,0,0,0,4,0,0,1,0,0,1,3,0
1,23.25,1,0,1,0,0,0,0,1,0,0,1,2,0
1,23.75,12,0,1,0,0,0,0,1,0,0,1,2,0
1,23.5,9,40,1,0,5,0,0,1,0,0,1,0,0
1,23,14,0,0,0,3,0,2,1,0,0,0,0,0
1,25,14,8,1,0,1,0,0,1,0,0,1,2,0
1,22.5,9,0,1,0,2,0,0,48,0,0,1,2,0
1,30,10,8,2,1,5,0,0,1,0,0,1,0,0
1,35.5,5,0,1,0,2,0,0,1,0,0,1,3,0
1,34,6,0,3,3,5,0,1,1,0,0,0,3,0
1,29.5,7,0,1,1,5,0,0,1,0,0,1,0,0
1,23.5,14,40,0,0,1,0,0,12,0,0,1,2,0
1,39.25,11,0,2,3,5,3,0,1,0,0,0,0,1
1,40.5,15,0,0,0,5,0,1,1,0,0,0,0,0
1,22.5,9,20,0,0,2,0,0,1,0,0,1,2,0
1,21.75,8,0,1,0,4,0,1,1,0,0,1,2,0
1,27.25,14,0,1,0,5,0,0,54,0,0,0,3,0
1,25.5,6,40,1,0,5,0,0,1,1,0,0,3,0
1,39.25,11,0,0,0,5,1,1,1,0,0,1,2,1
1,24.5,11,32,1,0,0,0,0,1,0,0,0,1,0
1,20.75,11,0,0,0,1,0,0,1,0,0,1,2,0
1,30,12,0,1,0,5,0,0,39,0,0,1,3,0
1,21.5,7,0,1,0,1,0,0,1,0,0,1,1,0
1,24.25,11,0,0,0,1,0,0,1,0,0,1,1,0
1,30.75,14,40,0,0,5,0,0,28,0,0,1,1,0
1,40.25,10,0,0,1,1,0,0,1,0,0,0,3,2
1,24,12,0,1,0,5,2,1,1,0,0,1,2,0
1,23.5,9,0,1,0,0,0,0,1,0,0,0,0,0
1,22,12,0,0,0,1,0,0,1,0,0,0,0,0
1,26.75,15,0,0,0,5,0,0,1,0,0,1,3,0
1,36,12,0,2,2,5,0,0,39,0,0,0,0,0
1,32.25,8,0,2,1,5,2,1,1,0,0,0,3,0
1,35,7,0,3,0,3,0,0,1,0,0,1,2,0
1,31.75,10,0,1,2,5,0,0,1,0,0,1,3,0
1,26.5,12,0,2,0,5,0,0,1,0,0,1,2,0
1,34.5,9,0,0,1,5,0,0,1,0,0,1,2,0
1,43.75,8,0,2,0,5,0,0,1,0,0,1,0,0
1,28,8,38,0,0,2,0,0,1,0,0,0,3,0
1,42,12,0,1,2,5,0,0,1,1,1,0,2,0
1,33.25,14,0,2,1,2,0,0,1,0,1,1,3,0
1,29.75,12,0,0,0,5,0,0,6,1,1,0,0,0
1,25.5,8,0,2,0,1,0,0,1,0,1,0,0,0
1,23.5,13,0,1,0,1,0,0,1,0,1,1,2,0
1,23.5,15,0,0,0,5,0,0,4,1,1,0,2,0
1,27.25,14,40,0,0,1,0,0,1,0,1,0,1,0
1,43.75,12,0,1,2,5,0,0,34,0,1,0,2,0
1,33.25,12,40,2,0,2,0,0,1,1,1,1,0,0
1,20.75,11,0,1,0,3,0,0,1,0,1,0,1,0
1,29,14,40,1,1,5,0,0,1,0,1,1,0,0
1,23.25,10,16,0,0,3,0,0,1,0,1,1,3,0
1,23.25,11,0,0,0,3,0,0,1,0,1,0,1,0
1,30.75,9,0,0,0,5,0,0,1,0,1,0,1,0
1,24.25,12,0,0,0,2,0,0,1,0,1,0,3,0
1,33.25,10,0,3,0,5,0,0,1,0,1,1,0,0
1,25,12,40,0,0,5,0,0,1,0,1,0,3,0
1,31.25,12,0,0,0,5,0,1,1,1,1,0,2,0
1,29.5,13,0,0,0,5,1,1,1,0,1,0,0,0
1,25.25,12,0,0,0,5,0,0,22,1,1,1,2,0
1,47.75,18,20,1,0,5,0,0,1,1,1,0,2,0
1,25.25,10,0,1,0,0,2,2,1,0,1,0,0,0
1,26,12,40,1,0,2,0,0,1,0,0,1,3,0
1,27.75,12,0,0,0,4,0,0,1,0,0,1,3,0
1,27,13,40,0,0,5,0,0,1,1,0,1,1,0
1,28,12,40,1,0,5,0,0,1,1,0,1,3,0
1,26,14,44,0,0,5,0,0,1,0,0,0,3,0
1,31.5,9,0,1,0,5,0,0,1,0,0,0,1,0
1,30.5,12,0,2,0,5,0,0,1,1,0,0,0,0
1,26.75,12,40,2,0,1,0,0,1,0,0,1,2,0
1,30.5,12,40,0,0,5,0,0,47,1,0,0,1,0
1,26,10,40,2,0,5,0,0,1,1,0,0,0,0
1,24,10,0,0,0,0,0,0,1,0,0,0,2,0
1,26,14,40,0,0,5,0,0,1,0,0,0,0,0
1,25.5,12,90,1,0,5,0,0,1,0,0,1,2,0
1,23,9,0,1,0,1,0,0,1,0,0,0,2,0
